                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.8062,                 1.7562,                  1.435,                0.39092,                0.23961,                0.26788,                0.09571,                 2.5845,                 1.4646,                 1.3747,             0.00066484,             0.00066484,             0.00066484
                      1,                 2.6226,                 1.5157,                 1.3241,                0.45273,                0.26639,                0.29526,                 0.1022,                 2.5798,                 1.4623,                 1.3056,              0.0013249,              0.0013249,              0.0013249
                      2,                 2.5711,                 1.4788,                 1.3021,                0.49885,                 0.2729,                 0.3226,                0.11656,                 2.4942,                 1.4338,                 1.3112,              0.0019784,              0.0019784,              0.0019784
                      3,                 2.5541,                 1.4429,                  1.288,                0.45926,                0.27757,                0.31553,                0.11485,                 2.4669,                 1.4574,                 1.2874,              0.0019703,              0.0019703,              0.0019703
                      4,                 2.5083,                 1.4143,                 1.2765,                0.46969,                0.28024,                0.31962,                0.11133,                 2.5188,                 1.3904,                 1.2875,              0.0019703,              0.0019703,              0.0019703
                      5,                 2.4837,                 1.3824,                 1.2692,                0.51929,                0.29009,                0.34296,                0.12652,                 2.4363,                 1.3395,                 1.2916,              0.0019604,              0.0019604,              0.0019604
                      6,                 2.4806,                 1.3751,                 1.2552,                0.52372,                0.30301,                0.35867,                0.13251,                 2.3809,                 1.3223,                 1.2646,              0.0019505,              0.0019505,              0.0019505
                      7,                 2.4491,                 1.3414,                 1.2456,                0.54687,                0.31298,                0.37352,                0.14023,                 2.3689,                 1.2851,                 1.2534,              0.0019406,              0.0019406,              0.0019406
                      8,                 2.4535,                 1.3496,                 1.2526,                0.56023,                0.32162,                 0.3815,                0.14245,                 2.3667,                 1.2963,                  1.254,              0.0019307,              0.0019307,              0.0019307
                      9,                 2.4285,                 1.3309,                 1.2449,                0.56003,                0.31216,                0.37617,                0.14358,                 2.3565,                 1.2929,                 1.2437,              0.0019208,              0.0019208,              0.0019208
                     10,                 2.4282,                 1.3218,                 1.2472,                0.56528,                0.31233,                0.37789,                0.14168,                 2.3816,                 1.2894,                 1.2471,              0.0019109,              0.0019109,              0.0019109
                     11,                 2.3986,                 1.2923,                 1.2335,                0.56585,                0.31861,                  0.383,                  0.141,                 2.3871,                 1.2863,                 1.2402,               0.001901,               0.001901,               0.001901
